,Nordost,Korall,Tasman,Süden,Südozean,time
164,0.24136016,0.13695046,0.1995845,0.33473498,,2009-11-12
165,0.24247487,0.1395691,0.20153964,0.42673612,,2009-11-13
166,0.2388086,0.13853557,0.1741668,0.28328586,,2009-11-14
167,0.25557846,0.1336457,0.13618669,0.25623164,,2009-11-15
168,0.25263414,0.14201117,0.12504278,0.2810316,,2009-11-16
169,0.25865826,0.14257944,0.1180211,0.3656354,,2009-11-17
170,0.24922928,0.14844908,0.1498065,0.38414806,,2009-11-18
171,0.25028974,0.15055324,0.16010869,0.34199068,,2009-11-19
172,0.26519096,0.14730445,0.18285243,0.315645,,2009-11-20
173,0.25763035,0.14319558,0.16806342,0.2948175,,2009-11-21
174,0.24971007,0.12518957,0.1598864,0.3465518,,2009-11-22
175,0.25289544,0.12063477,0.14187251,0.37743255,,2009-11-23
176,0.24832533,0.11385951,0.14297108,0.36215693,,2009-11-24
177,0.24323146,0.12878892,0.17039627,0.31089106,,2009-11-25
178,0.24382325,0.12738256,0.17369291,0.2920315,,2009-11-26
179,0.24224748,0.13874589,0.1738479,0.2688489,,2009-11-27
180,0.2452244,0.14393997,0.17073381,0.274022,,2009-11-28
181,0.24744183,0.14476052,0.17709342,0.2977824,,2009-11-29
182,0.235526,0.16659498,0.121039115,0.32826093,,2009-11-30
183,0.24605376,0.15591511,0.1146296,0.3939025,,2009-12-01
184,0.24279737,0.13743247,0.10841529,0.40149722,,2009-12-02
185,0.24716315,0.13486102,0.11750043,0.40908358,,2009-12-03
186,0.2578819,0.13799238,0.12266553,0.39741364,,2009-12-04
187,0.2714001,0.14006834,0.11852821,0.37520534,,2009-12-05
188,0.2619697,0.13589787,0.12223977,0.43887645,,2009-12-06
189,0.2614836,0.12306795,0.11506014,0.43031088,,2009-12-07
190,0.24611737,0.11731931,0.10758116,0.4181349,,2009-12-08
191,0.24354208,0.14328912,0.12291071,0.4573909,,2009-12-09
192,0.23088138,0.13331848,0.12649009,0.46702045,,2009-12-10
193,0.22734688,0.14094175,0.13217811,0.4446405,,2009-12-11
194,0.22868006,0.13685277,0.12961416,0.37371755,,2009-12-12
