time,value,variable,station,lon,lat,region,site-id
2009-09-23 10:00:00,2964.0,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-23 11:00:00,2277.6,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-23 12:00:00,1621.7,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-23 13:00:00,566.7,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-23 14:00:00,183.3,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-23 15:00:00,195.8,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-23 16:00:00,98.0,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-23 17:00:00,80.8,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-23 18:00:00,34.5,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-23 19:00:00,28.5,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-23 20:00:00,57.9,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-23 21:00:00,44.8,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-23 22:00:00,43.1,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-23 23:00:00,31.9,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-24 00:00:00,24.3,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-24 01:00:00,15.3,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-24 02:00:00,11.6,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-24 03:00:00,2.6,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-24 04:00:00,5.6,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-24 05:00:00,2.9,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-24 06:00:00,3.8,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-24 07:00:00,26.8,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-24 08:00:00,23.2,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-24 09:00:00,10.6,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-24 10:00:00,-2.4,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-24 11:00:00,6.2,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-24 12:00:00,21.6,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-24 13:00:00,-1.0,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-24 14:00:00,24.4,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-24 15:00:00,106.0,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-24 16:00:00,33.9,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-24 17:00:00,,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-24 18:00:00,27.1,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-24 19:00:00,12.0,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-24 20:00:00,4.9,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-24 21:00:00,12.1,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-24 22:00:00,12.5,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-24 23:00:00,13.4,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-25 00:00:00,23.1,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-25 01:00:00,12.5,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-25 02:00:00,9.9,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-25 03:00:00,14.2,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-25 04:00:00,14.7,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-25 05:00:00,8.0,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-25 06:00:00,24.7,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-25 07:00:00,20.2,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-25 08:00:00,,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-25 09:00:00,42.4,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-25 10:00:00,25.3,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-25 11:00:00,22.2,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-25 12:00:00,22.6,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-25 13:00:00,31.5,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-25 14:00:00,29.5,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-25 15:00:00,32.7,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-25 16:00:00,29.5,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-25 17:00:00,28.2,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-25 18:00:00,35.6,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-25 19:00:00,32.5,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-25 20:00:00,35.0,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-25 21:00:00,39.6,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-25 22:00:00,43.0,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-25 23:00:00,39.6,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-26 00:00:00,32.8,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-26 01:00:00,39.3,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
