,Nordwest,Korall,Tasman,Süden,Südozean,Komplette Domäne,time
100,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-13 12:00:00
101,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-13 15:00:00
102,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-13 18:00:00
103,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-13 21:00:00
104,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-14 00:00:00
105,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-14 03:00:00
106,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-14 06:00:00
107,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-14 09:00:00
108,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-14 12:00:00
109,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-14 15:00:00
110,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-14 18:00:00
111,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-14 21:00:00
112,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-15 00:00:00
113,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-15 03:00:00
114,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-15 06:00:00
115,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-15 09:00:00
116,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-15 12:00:00
117,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-15 15:00:00
118,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-15 18:00:00
119,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-15 21:00:00
120,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-16 00:00:00
121,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-16 03:00:00
122,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-16 06:00:00
123,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-16 09:00:00
124,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-16 12:00:00
125,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-16 15:00:00
126,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-16 18:00:00
127,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-16 21:00:00
